Tipo de Incidencia,Clave de incidencia,ID de la incidencia,Resumen,Parent summary,Prioridad,Estado,Sprint de ejecución,Tipo de prueba,Atributo,Nivel de prueba,Tag0,Tag1,Tag2,Eatpa de la prueba,Ambiente,Reportado,Fecha Reporte,Version de correccion 1,Desarrollador,Sprint última regresión,¿En qué versión fue corregido?,Estrategia de ejecución
riesgo,POS-101,27,Se generan logs con errores de NullPointerException.,Verificar herencia del objeto,Alta,Pendiente,Sprint 7,Funcional,Funcional,UAT,Datos,CRM,Cloud,Construcción,Pre-Producción,Mateo Linares,2/19/2024,v1.0.1,Sofía Morales,,v1.0.2,Automatizada
riesgo,MOB-589,28,Datos no persisten después de actualizar la página.,Verificar herencia del objeto,Baja,Reabierto,Sprint 19,Integración,Portabilidad,integracion,SAP,CORE Banking,On-Premise- Hibrido,Ideación,Integracion,Lucía Fernández,5/13/2025,v1.0.1,Ana López,,v1.0.2,Manual
sugerencia,MOB-589,29,Datos no persisten después de actualizar la página.,Verificar herencia del objeto,Alta,Cerrado,Sprint 3,Integración,Funcional,Unitaria,Software Tradicional,CRM,Mainframe,Operacion,Pruebas,Jorge Ramírez,12/3/2024,v1.0.1,Isabela Aguirre,,v1.0.2,Manual
Incidente,POS-101,30,Fallo en la navegación entre pantallas del módulo principal.,Verificar herencia del objeto,Baja,Resuelto,Sprint 13,Integración,Compatibilidad,Unitaria,Datos,CORE Banking,On-Premise- Hibrido,Requisitos,Producción,Gabriela Paredes,4/7/2024,v1.0.1,Gabriela Paredes,Sprint 16,v1.0.2,Manual
Incidente,MOB-589,31,Error al guardar los cambios cuando el formulario está incompleto.,Verificar herencia del objeto,Media,Cerrado,Sprint 2,Funcional,Desempeño,Sistema,SAP,Datalake,On-Premise- Hibrido,Requisitos,Producción,Isabela Aguirre,3/23/2025,v1.0.1,Raúl Espinosa,,v1.0.2,Manual
Incidente,API-073,32,Inconsistencias en el formato de fechas en reportes.,Verificar herencia del objeto,Media,Rechazado,Sprint 11,Funcional,Desempeño,UAT,Datos,CORE Banking,On-Premise- Hibrido,Requisitos,Integracion,Ana López,9/1/2024,v1.0.1,Lucía Fernández,,v1.0.2,Manual
Incidente,API-073,33,La carga del módulo tarda más de lo esperado.,Verificar herencia del objeto,Media,Pendiente,Sprint 14,Funcional,Desempeño,integracion,SAP,Datalake,On-Premise- Hibrido,Construcción,Integracion,Sofía Morales,12/7/2024,v1.0.1,Ana López,Sprint 17,v1.0.2,Manual
riesgo,BD-921,34,Falta de alineación en los elementos de la interfaz.,Verificar herencia del objeto,Media,Pendiente,Sprint 1,Carga,Portabilidad,integracion,SAP,ERP,On-Premise- Hibrido,Requisitos,Pre-Producción,Isabela Aguirre,10/17/2024,v1.0.1,Camila Vargas,,v1.0.2,Manual
sugerencia,API-073,35,Error al guardar los cambios cuando el formulario está incompleto.,Verificar herencia del objeto,Media,En progreso,Sprint 17,Regresión,Seguridad,integracion,Datos,Datalake,Mainframe,Operacion,Producción,Mateo Linares,6/4/2025,v1.0.1,Sofía Morales,,v1.0.2,Manual
sugerencia,MOB-589,36,Permisos incorrectos asignados a usuarios estándar.,Verificar herencia del objeto,Alta,Pendiente,Sprint 5,Regresión,Funcional,integracion,Software Tradicional,ERP,On-Premise- Hibrido,Operacion,ShadowDR),Miguel Herrera,10/29/2025,v1.0.1,Laura Ortega,Sprint 10,v1.0.2,Manual
Incidente,API-073,37,Se generan logs con errores de NullPointerException.,Verificar herencia del objeto,Crítica,En progreso,Sprint 5,Funcional,Datos,integracion,Datos,CRM,On-Premise- Hibrido,Ideación,Pruebas,Sofía Morales,10/24/2024,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
riesgo,WEB-342,38,El sistema se bloquea al ingresar caracteres especiales.,Verificar herencia del objeto,Alta,Reabierto,Sprint 16,Funcional,Funcional,UAT,Software Tradicional,ERP,On-Premise- Hibrido,Construcción,Pruebas,Antonella Duque,6/7/2025,v1.0.1,Juan Pérez,,v1.0.2,Automatizada
sugerencia,BD-921,39,No se muestra el mensaje de confirmación tras enviar el formulario.,Verificar herencia del objeto,Media,Resuelto,Sprint 12,Integración,Funcional,Unitaria,Datos,CORE Banking,On-Premise- Hibrido,Requisitos,ShadowDR),Paula Navarro,2/23/2024,v1.0.1,Gabriela Paredes,,v1.0.2,Manual
Incidente,WEB-342,40,El componente de búsqueda no filtra adecuadamente.,Verificar herencia del objeto,Media,En progreso,Sprint 18,Funcional,Funcional,Unitaria,Datos,DWH,On-Premise- Hibrido,Requisitos,Pruebas,Isabela Aguirre,2/28/2024,v1.0.1,Esteban Méndez,,v1.0.2,Automatizada
Incidente,MOB-589,41,No se muestra el mensaje de confirmación tras enviar el formulario.,Verificar herencia del objeto,Alta,Resuelto,Sprint 14,Regresión,Funcional,integracion,Software IA,Datalake,On-Premise- Hibrido,Ideación,ShadowDR),Miguel Herrera,9/8/2024,v1.0.1,Sebastián Cortés,Sprint 16,v1.0.2,Manual
Defecto,WEB-342,42,Inconsistencias en el formato de fechas en reportes.,Verificar herencia del objeto,Crítica,Reabierto,Sprint 13,Funcional,Funcional,Sistema,Software Tradicional,ERP,Mainframe,Ideación,Pruebas,Antonella Duque,9/22/2024,v1.0.1,Esteban Méndez,,v1.0.2,Automatizada
Defecto,POS-101,43,La función de autocompletado no sugiere valores esperados.,Verificar herencia del objeto,Crítica,Pendiente,Sprint 8,Sanity,Funcional,integracion,Datos,CORE Banking,On-Premise- Hibrido,Ideación,ShadowDR),Juan Pérez,9/14/2025,v1.0.1,Sebastián Cortés,,v1.0.2,Manual
sugerencia,BD-921,44,Datos no persisten después de actualizar la página.,Verificar herencia del objeto,Media,Reabierto,Sprint 1,Carga,Desempeño,Unitaria,Software Tradicional,CRM,Cloud,Ideación,Pruebas,Laura Ortega,2/10/2025,v1.0.1,Lucía Fernández,,v1.0.2,Manual
riesgo,API-073,45,Problemas con la internacionalización de mensajes.,Verificar herencia del objeto,Media,Resuelto,Sprint 1,Exploratoria,Funcional,Unitaria,SAP,ERP,On-Premise- Hibrido,Ideación,Pruebas,Paula Navarro,3/24/2024,v1.0.1,Laura Ortega,,v1.0.2,Manual
Defecto,KIOS-411,46,El sistema se bloquea al ingresar caracteres especiales.,Verificar herencia del objeto,Alta,Resuelto,Sprint 4,Funcional,Funcional,UAT,Software IA,ERP,Cloud,Requisitos,Pre-Producción,Sebastián Cortés,9/3/2025,v1.0.1,Pedro Cruz,,v1.0.2,Automatizada
riesgo,MOB-589,47,Problemas con la internacionalización de mensajes.,Verificar herencia del objeto,Baja,Pendiente,Sprint 19,Aceptación,Datos,Unitaria,Software Tradicional,CORE Banking,On-Premise- Hibrido,Ideación,Integracion,Camila Vargas,12/26/2024,v1.0.1,Valentina Castillo,,v1.0.2,Manual
Defecto,POS-101,48,Se generan logs con errores de NullPointerException.,Verificar herencia del objeto,Media,Rechazado,Sprint 4,Carga,Datos,UAT,Software IA,Datalake,On-Premise- Hibrido,Operacion,Pre-Producción,Juan Pérez,10/30/2025,v1.0.1,Lucía Fernández,,v1.0.2,Manual
sugerencia,CORE-568,49,La carga del módulo tarda más de lo esperado.,Verificar herencia del objeto,Baja,Cerrado,Sprint 19,Regresión,Funcional,Unitaria,SAP,CRM,On-Premise- Hibrido,Ideación,ShadowDR),Lucía Fernández,3/8/2024,v1.0.1,Valentina Castillo,Sprint 20,v1.0.2,Manual
sugerencia,WEB-342,50,La función de autocompletado no sugiere valores esperados.,Verificar herencia del objeto,Media,Resuelto,Sprint 1,Integración,Datos,UAT,Software Tradicional,CRM,On-Premise- Hibrido,Operacion,ShadowDR),Miguel Herrera,2/16/2024,v1.0.1,Paula Navarro,,v1.0.2,Manual
Incidente,MOB-589,51,Problemas con la internacionalización de mensajes.,Verificar herencia del objeto,Baja,En progreso,Sprint 3,Funcional,Funcional,Unitaria,Datos,CRM,Cloud,Ideación,Pruebas,Sofía Morales,7/26/2025,v1.0.1,Pedro Cruz,Sprint 9,v1.0.2,Automatizada
riesgo,MOB-589,52,Problemas con la internacionalización de mensajes.,Verificar herencia del objeto,Media,En progreso,Sprint 8,Carga,Funcional,Sistema,Datos,CRM,On-Premise- Hibrido,Ideación,Sandbox,Raúl Espinosa,1/25/2025,v1.0.1,Ana López,,v1.0.2,Manual
Incidente,CORE-568,53,Los datos exportados no coinciden con los mostrados en pantalla.,Verificar herencia del objeto,Baja,Rechazado,Sprint 3,Regresión,Funcional,integracion,Software Tradicional,ERP,On-Premise- Hibrido,Construcción,Pre-Producción,Lucía Fernández,3/1/2024,v1.0.1,Gabriela Paredes,Sprint 16,v1.0.2,Manual
Incidente,BD-921,54,Los datos exportados no coinciden con los mostrados en pantalla.,Verificar herencia del objeto,Baja,En progreso,Sprint 6,Funcional,Funcional,integracion,Software IA,Datalake,On-Premise- Hibrido,Ideación,ShadowDR),Miguel Herrera,10/30/2024,v1.0.1,Mateo Linares,,v1.0.2,Automatizada
riesgo,POS-101,55,Falta de alineación en los elementos de la interfaz.,Verificar herencia del objeto,Crítica,Pendiente,Sprint 11,Funcional,Funcional,Sistema,SAP,ERP,On-Premise- Hibrido,Ideación,ShadowDR),Pedro Cruz,7/23/2024,v1.0.1,Lucía Fernández,,v1.0.2,Automatizada
sugerencia,API-073,56,Fallo en la navegación entre pantallas del módulo principal.,Verificar herencia del objeto,Alta,En progreso,Sprint 2,Sanity,Funcional,Unitaria,Datos,Datalake,On-Premise- Hibrido,Operacion,Pre-Producción,Juan Pérez,4/24/2025,v1.0.1,Paula Navarro,,v1.0.2,Manual
riesgo,POS-101,57,Problema de compatibilidad en navegadores móviles.,Verificar herencia del objeto,Media,Cerrado,Sprint 20,Funcional,Datos,Sistema,SAP,DWH,Mainframe,Construcción,Desarrollo,Miguel Herrera,5/15/2025,v1.0.1,Laura Ortega,Sprint 20,v1.0.2,Manual
Incidente,API-073,58,El botón de envío permanece inactivo aún con campos completos.,Verificar herencia del objeto,Media,Reabierto,Sprint 14,Funcional,Funcional,Sistema,Software Tradicional,Datalake,Mainframe,Requisitos,Desarrollo,Gabriela Paredes,2/3/2025,v1.0.1,Miguel Herrera,Sprint 16,v1.0.2,Automatizada
Defecto,KIOS-411,59,La validación del campo de correo no funciona correctamente.,Verificar herencia del objeto,Media,Resuelto,Sprint 16,Funcional,Funcional,Sistema,SAP,DWH,On-Premise- Hibrido,Requisitos,Pruebas,Camila Vargas,8/12/2024,v1.0.1,Ana López,Sprint 16,v1.0.2,Automatizada
Defecto,KIOS-411,60,La validación del campo de correo no funciona correctamente.,Verificar herencia del objeto,Media,En progreso,Sprint 10,Funcional,Funcional,Unitaria,Software IA,CRM,Cloud,Construcción,Integracion,Mateo Linares,4/29/2025,v1.0.1,Sebastián Cortés,,v1.0.2,Manual
sugerencia,CORE-568,61,Error al guardar los cambios cuando el formulario está incompleto.,Verificar herencia del objeto,Media,Cerrado,Sprint 15,Carga,Usabilidad,UAT,SAP,ERP,Cloud,Requisitos,Integracion,Juan Pérez,11/20/2024,v1.0.1,Camila Vargas,,v1.0.2,Manual
Incidente,KIOS-411,62,Permisos incorrectos asignados a usuarios estándar.,Verificar herencia del objeto,Alta,Resuelto,Sprint 20,Integración,Compatibilidad,UAT,Software IA,Datalake,On-Premise- Hibrido,Operacion,Pre-Producción,Miguel Herrera,9/12/2024,v1.0.1,Sofía Morales,,v1.0.2,Manual
Defecto,BD-921,63,El sistema no responde al hacer clic en ciertos botones.,Verificar herencia del objeto,Alta,Resuelto,Sprint 10,Funcional,Funcional,UAT,SAP,ERP,On-Premise- Hibrido,Construcción,ShadowDR),Lucía Fernández,10/22/2025,v1.0.1,Laura Ortega,Sprint 17,v1.0.2,Automatizada
Incidente,POS-101,64,No se muestra el mensaje de confirmación tras enviar el formulario.,Verificar herencia del objeto,Media,Pendiente,Sprint 15,Funcional,Datos,Sistema,Software Tradicional,Datalake,Mainframe,Construcción,Producción,Raúl Espinosa,9/12/2025,v1.0.1,Gabriela Paredes,,v1.0.2,Manual
Incidente,API-073,65,La carga del módulo tarda más de lo esperado.,Verificar herencia del objeto,Baja,Cerrado,Sprint 4,Funcional,Funcional,Unitaria,Software Tradicional,CRM,Cloud,Ideación,Pruebas,Juan Pérez,4/15/2025,v1.0.1,Mateo Linares,Sprint 4,v1.0.2,Manual
Incidente,POS-101,66,Falta de alineación en los elementos de la interfaz.,Verificar herencia del objeto,Alta,Resuelto,Sprint 0,Sanity,Funcional,Unitaria,Datos,Datalake,Cloud,Operacion,Integracion,Gabriela Paredes,2/4/2024,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
sugerencia,MOB-589,67,El sistema se bloquea al ingresar caracteres especiales.,Verificar herencia del objeto,Crítica,Pendiente,Sprint 20,Sanity,Funcional,integracion,Datos,Datalake,Cloud,Requisitos,Pruebas,Miguel Herrera,5/19/2024,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
sugerencia,POS-101,68,Permisos incorrectos asignados a usuarios estándar.,Verificar herencia del objeto,Crítica,En progreso,Sprint 18,Integración,Funcional,UAT,SAP,DWH,Mainframe,Construcción,Pre-Producción,Isabela Aguirre,4/26/2024,v1.0.1,Mariana Cárdenas,Sprint 18,v1.0.2,Manual
riesgo,WEB-342,69,Se visualiza contenido duplicado en la lista de resultados.,Verificar herencia del objeto,Media,En progreso,Sprint 18,Exploratoria,Funcional,Unitaria,SAP,CORE Banking,Mainframe,Requisitos,Desarrollo,Mateo Linares,7/12/2025,v1.0.1,Raúl Espinosa,Sprint 18,v1.0.2,Manual
riesgo,BD-921,70,El sistema se bloquea al ingresar caracteres especiales.,Verificar herencia del objeto,Baja,En progreso,Sprint 2,Funcional,Funcional,UAT,Software IA,ERP,Cloud,Construcción,Sandbox,Ana López,5/31/2025,v1.0.1,Ana López,,v1.0.2,Manual
Incidente,BD-921,71,La carga del módulo tarda más de lo esperado.,Verificar herencia del objeto,Baja,Reabierto,Sprint 15,Funcional,Seguridad,Sistema,Software Tradicional,CORE Banking,On-Premise- Hibrido,Ideación,Integracion,Sebastián Cortés,2/14/2025,v1.0.1,Sofía Morales,,v1.0.2,Manual
sugerencia,CORE-568,72,La función de autocompletado no sugiere valores esperados.,Verificar herencia del objeto,Alta,Pendiente,Sprint 18,Carga,Funcional,Unitaria,Software Tradicional,ERP,Cloud,Ideación,Integracion,Valentina Castillo,2/4/2024,v1.0.1,Paula Navarro,Sprint 18,v1.0.2,Manual
riesgo,MOB-589,73,Datos no persisten después de actualizar la página.,Verificar herencia del objeto,Alta,Cerrado,Sprint 0,Funcional,Funcional,Sistema,SAP,Datalake,Cloud,Operacion,Pruebas,Ana López,1/26/2024,v1.0.1,Paula Navarro,,v1.0.2,Automatizada
sugerencia,MOB-589,74,Error al guardar los cambios cuando el formulario está incompleto.,Verificar herencia del objeto,Media,En progreso,Sprint 16,Smoke,Funcional,Sistema,SAP,CORE Banking,Cloud,Requisitos,ShadowDR),Camila Vargas,3/4/2024,v1.0.1,Camila Vargas,,v1.0.2,Manual
Defecto,CORE-568,75,No se muestra el mensaje de confirmación tras enviar el formulario.,Verificar herencia del objeto,Media,Rechazado,Sprint 20,Funcional,Funcional,Unitaria,SAP,ERP,On-Premise- Hibrido,Ideación,Producción,Camila Vargas,1/8/2024,v1.0.1,Miguel Herrera,,v1.0.2,Automatizada
sugerencia,BD-921,76,Se visualiza contenido duplicado en la lista de resultados.,Verificar herencia del objeto,Baja,En progreso,Sprint 9,Aceptación,Funcional,integracion,Datos,Datalake,Mainframe,Ideación,Pre-Producción,Pedro Cruz,6/24/2025,v1.0.1,Isabela Aguirre,,v1.0.2,Manual
Incidente,MOB-589,77,Falta de alineación en los elementos de la interfaz.,Verificar herencia del objeto,Crítica,Pendiente,Sprint 6,Regresión,Funcional,integracion,SAP,ERP,Mainframe,Requisitos,Sandbox,Mariana Cárdenas,9/5/2025,v1.0.1,Paula Navarro,,v1.0.2,Manual
Defecto,API-073,78,Permisos incorrectos asignados a usuarios estándar.,Verificar herencia del objeto,Media,Cerrado,Sprint 8,Funcional,Funcional,UAT,Datos,DWH,On-Premise- Hibrido,Ideación,Producción,Daniela Ríos,2/10/2024,v1.0.1,Gabriela Paredes,Sprint 8,v1.0.2,Manual
Incidente,POS-101,79,La función de autocompletado no sugiere valores esperados.,Verificar herencia del objeto,Media,Resuelto,Sprint 12,Integración,Funcional,integracion,SAP,ERP,Cloud,Ideación,ShadowDR),Sofía Morales,9/3/2025,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
Incidente,POS-101,80,Datos no persisten después de actualizar la página.,Verificar herencia del objeto,Alta,Cerrado,Sprint 1,Smoke,Datos,integracion,Software IA,CORE Banking,Cloud,Construcción,Desarrollo,Daniela Ríos,5/16/2024,v1.0.1,Mariana Cárdenas,,v1.0.2,Manual
sugerencia,WEB-342,81,Los datos exportados no coinciden con los mostrados en pantalla.,Verificar herencia del objeto,Baja,Rechazado,Sprint 7,Smoke,Datos,UAT,Software IA,CRM,Mainframe,Construcción,Sandbox,Miguel Herrera,8/31/2024,v1.0.1,Daniela Ríos,Sprint 10,v1.0.2,Manual
Defecto,BD-921,82,Inconsistencias en el formato de fechas en reportes.,Verificar herencia del objeto,Media,Resuelto,Sprint 6,Sanity,Funcional,UAT,Datos,ERP,On-Premise- Hibrido,Operacion,Desarrollo,Esteban Méndez,3/26/2024,v1.0.1,Sofía Morales,,v1.0.2,Manual
Defecto,BD-921,83,Problemas con la internacionalización de mensajes.,Verificar herencia del objeto,Crítica,En progreso,Sprint 14,Sanity,Funcional,UAT,Software Tradicional,DWH,On-Premise- Hibrido,Construcción,Sandbox,Lucía Fernández,10/6/2025,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
riesgo,API-073,84,Se generan logs con errores de NullPointerException.,Verificar herencia del objeto,Alta,Resuelto,Sprint 14,Smoke,Funcional,Unitaria,Software Tradicional,CRM,Cloud,Construcción,Integracion,Ana López,1/31/2024,v1.0.1,Miguel Herrera,Sprint 20,v1.0.2,Manual
sugerencia,BD-921,85,Inconsistencias en el formato de fechas en reportes.,Verificar herencia del objeto,Baja,Reabierto,Sprint 18,Funcional,Funcional,integracion,SAP,CORE Banking,Cloud,Operacion,Pruebas,Antonella Duque,2/13/2025,v1.0.1,Lucía Fernández,,v1.0.2,Manual
sugerencia,KIOS-411,86,Fallo en la navegación entre pantallas del módulo principal.,Verificar herencia del objeto,Baja,Cerrado,Sprint 13,Carga,Funcional,integracion,Software Tradicional,CORE Banking,Mainframe,Operacion,Pre-Producción,Laura Ortega,2/20/2024,v1.0.1,Raúl Espinosa,Sprint 15,v1.0.2,Manual
Defecto,WEB-342,87,El sistema no responde al hacer clic en ciertos botones.,Verificar herencia del objeto,Media,Rechazado,Sprint 1,Integración,UX,UAT,Software IA,DWH,Cloud,Construcción,Integracion,Laura Ortega,5/26/2025,v1.0.1,Sofía Morales,,v1.0.2,Manual
riesgo,MOB-589,88,Datos no persisten después de actualizar la página.,Verificar herencia del objeto,Media,Rechazado,Sprint 16,Smoke,Datos,Sistema,SAP,ERP,Mainframe,Requisitos,Integracion,Miguel Herrera,4/17/2025,v1.0.1,Camila Vargas,,v1.0.2,Manual
sugerencia,KIOS-411,89,La validación del campo de correo no funciona correctamente.,Verificar herencia del objeto,Media,Pendiente,Sprint 3,Regresión,Funcional,UAT,Software IA,DWH,Cloud,Construcción,Producción,Paula Navarro,8/24/2025,v1.0.1,Mateo Linares,,v1.0.2,Manual
